step	slope_50
1	nan
2	nan
3	nan
4	nan
5	nan
6	nan
7	nan
8	nan
9	nan
10	nan
11	nan
12	nan
13	nan
14	nan
15	nan
16	nan
17	nan
18	nan
19	nan
20	nan
21	nan
22	nan
23	nan
24	nan
25	nan
26	nan
27	nan
28	nan
29	nan
30	nan
31	nan
32	nan
33	nan
34	nan
35	nan
36	nan
37	nan
38	nan
39	nan
40	nan
41	nan
42	nan
43	nan
44	nan
45	nan
46	nan
47	nan
48	nan
49	nan
50	-0.07213743097238898
51	-0.06868595438175268
52	-0.06539087635054015
53	-0.06511116446578623
54	-0.06111606242497007
55	-0.057853397358943535
56	-0.05898468187274906
57	-0.058025306122448994
58	-0.06098665066026412
59	-0.05631779111644658
60	-0.05248749099639848
61	-0.05425891956782712
62	-0.05048974789915971
63	-0.05005478991596638
64	-0.04674189675870351
65	-0.047202641056422565
66	-0.04614333733493398
67	-0.044141752701080464
68	-0.045866746698679496
69	-0.04495548619447781
70	-0.04206525810324131
71	-0.03720134453781512
72	-0.04061599039615849
73	-0.041512509003601414
74	-0.03829594237695079
75	-0.035285618247298915
76	-0.03343625450180076
77	-0.03248513805522209
78	-0.0349786794717887
79	-0.030804561824729876
80	-0.028312220888355333
81	-0.027656902761104458
82	-0.026318607442977194
83	-0.024910252100840316
84	-0.024075822328931573
85	-0.02381594237695076
86	-0.022054789915966388
87	-0.02002468187274909
88	-0.019502953181272504
89	-0.019462617046818762
90	-0.018416422569027636
91	-0.01753061224489794
92	-0.01804163265306124
93	-0.018609699879951983
94	-0.01745262905162066
95	-0.01711779111644657
96	-0.01757978391356542
97	-0.017395294117647054
98	-0.01628230492196877
99	-0.017553469387755087
100	-0.017951260504201694
101	-0.01906079231692677
102	-0.01644749099639856
103	-0.018039423769507797
104	-0.0185653781512605
105	-0.01737795918367347
106	-0.016980360144057616
107	-0.01572168067226892
108	-0.015078511404561833
109	-0.013439135654261714
110	-0.012992509003601448
111	-0.012370804321728702
112	-0.012490996398559415
113	-0.010514861944777907
114	-0.010643553421368558
115	-0.008830492196878748
116	-0.009332244897959186
117	-0.008389819927971212
118	-0.0074012484993997655
119	-0.007410756302521011
120	-0.008643265306122448
121	-0.009007779111644677
122	-0.008080864345738306
123	-0.007282352941176476
124	-0.004962112845138052
125	-0.005774981992797118
126	-0.007460408163265312
127	-0.006222184873949596
128	-0.005667515006002408
129	-0.0050442256902761
130	-0.0043504921968787495
131	-0.005139255702280907
132	-0.003498103241296521
133	-0.003361488595438162
134	-0.0028365426170468217
135	-0.003716494597839145
136	-0.0025517406962785034
137	0.00028571428571429094
138	-0.0004707322929171636
139	0.0013390156062424972
140	0.0025627851140456177
141	0.0023951020408163226
142	0.0020172388955582237
143	0.0009924129651860774
144	0.00022352941176470562
145	-0.0011542857142857212
146	-0.0002961824729891989
147	-0.0008586794717887148
148	-0.0017309963985594299
149	-0.0029885234093637333
150	-0.0033709963985594288
151	-0.005364945978391351
152	-0.0044984393757502876
153	-0.0049979831932773205
154	-0.005351740696278513
155	-0.0056581992797118804
156	-0.006903673469387764
157	-0.005159231692677076
158	-0.00482045618247298
159	-0.004073325330132055
160	-0.004464297719087632
161	-0.003662713085234096
162	-0.004656278511404565
163	-0.003298775510204082
164	-0.002854549819927967
165	-0.0032349099639856194
166	-0.004931044417767127
167	-0.004082448979591832
168	-0.004082016806722684
169	-0.004111644657863146
170	-0.005855078031212487
171	-0.004758943577430973
172	-0.004286722689075613
173	-0.003352605042016808
174	-0.0017323889555822343
175	-0.0021085234093637137
176	-0.003441008403361345
177	-0.0009736854741896796
178	0.0001833853541416533
179	-0.00018300120048019453
180	8.845138055221044e-05
181	-0.0010895078031212529
182	-0.001657527010804314
183	-0.0018780312124849878
184	-0.003645474189675875
185	-0.0028628091236494566
186	-0.002952653061224488
187	-0.0013894357743097245
188	-0.0014981032412965114
189	-0.00023073229291715802
190	0.0003459783913565455
191	-0.00020686674669868159
192	-0.0007107803121248568
193	-0.00024412965186075452
194	-0.0006137334933973701
195	-0.0025711404561824763
196	-0.002057575030011985
197	-0.0018987274909964048
198	-0.003452917166866759
199	-0.004429147659063627
200	-0.004018007202881165
201	-0.006097815126050429
202	-0.006523073229291728
203	-0.005517503001200479
204	-0.004559279711884752
205	-0.005808931572629051
206	-0.005290420168067212
207	-0.004443793517406962
208	-0.005287106842737082
209	-0.0064334693877550935
210	-0.007032605042016811
211	-0.005943337334933972
212	-0.0071924609843937665
213	-0.005613829531812716
214	-0.004820072028811537
215	-0.005804801920768293
216	-0.006876782713085228
217	-0.0062525330132052895
218	-0.006890468187274914
219	-0.0068574789915966505
220	-0.006869243697479
221	-0.00574804321728691
222	-0.005464345738295314
223	-0.003246434573829523
224	-0.0022274669867947197
225	-0.002928259303721483
226	-0.0037345978391356673
227	-0.003340936374549811
228	-0.002274189675870348
229	-0.0016626170468187229
230	-0.0014631452581032457
231	-0.002315294117647044
232	-0.0024419207683073194
233	-0.0024219927971188427
234	-0.0030959903961584843
235	-0.0027727731092436723
236	-0.0024384633853541367
237	-0.0017356542617046852
238	-0.0017450180072028773
239	-0.0017931812725089935
240	-0.0017200480192076833
241	-0.002378487394957978
242	-0.0027705162064825886
243	-0.0012167587034813904
244	-0.0009578871548619496
245	-0.0007527010804321682
246	-0.0015340216086434596
247	-0.0003977911164465912
248	-0.00037301320528212274
249	0.00044869147659063494
250	-0.0002225690276110426
251	-0.0009973589435774298
252	-0.0013810804321728821
253	-0.000414885954381754
254	-0.000904921968787531
255	-0.0023715246098439413
256	-0.0005141416566626644
257	-0.0004077791116446536
258	0.00016460984393756146
259	1.8583433373334118e-05
260	0.00010554621848740027
261	-0.0005660984393757511
262	0.0005346458583433376
263	-0.0006372629051620714
264	0.0017625930372148816
265	0.0022644897959183635
266	0.0018041296518607427
267	0.002898103241296509
268	0.0016256422569027533
269	0.0007571188475390283
270	0.0009623049219687885
271	0.00034559423769508346
272	0.0003820888355342425
273	0.002185162064825931
274	0.0028593517406962695
275	0.00265824729891957
276	0.0021551020408163415
277	0.0017136134453781561
278	0.0010825450180072021
279	0.0007965906362544892
280	-0.0005889555822328994
281	-0.0006504201680672153
282	0.00028542617046819243
283	-0.0014996878751500657
284	-0.00042847539015605015
285	-0.0011044417767106908
286	-0.0016756302521008385
287	-0.0034687154861944643
288	-0.004180072028811531
289	-0.004534597839135655
290	-0.0050724609843937635
291	-0.0036465306122448883
292	-0.004695942376950783
293	-0.003480624249699877
294	-0.0032705882352941336
295	-0.0018744297719087374
296	-0.003058007202881148
297	-0.00292024009603842
298	-0.002670972388955587
299	-0.0029817527010804197
300	-0.0035378151260504294
301	-0.0033632172869147536
302	-0.0043389195678271335
303	-0.0031031932773109366
304	-0.004991212484994015
305	-0.005093301320528222
306	-0.0038226170468187333
307	-0.002489459783913568
308	-0.0005890516206482685
309	0.00012528211284514964
310	0.0015240336134453845
311	0.000773397358943575
312	0.0026648739495798287
313	0.0010089795918367648
314	0.0017261944777911238
315	0.0018436014405762255
316	0.002520432172869146
317	0.003994237695078025
318	0.0035299879951980807
319	0.0025724369747899207
320	0.003350444177671071
321	0.00316384153661465
322	0.0026588715486194625
323	0.003949579831932755
324	0.004354669867947131
325	0.004427082833133253
326	0.004605426170468195
327	0.005683217286914765
328	0.00512835534213687
329	0.005481680672268894
330	0.004495510204081641
331	0.004384489795918344
332	0.005322545018007185
333	0.004182184873949575
334	0.004167154861944769
335	0.005000192076830758
336	0.0040727971188475745
337	0.0024386554621848816
338	0.002865018007202884
339	0.0021352220888355257
340	0.001519327731092415
341	0.002899447779111641
342	0.0015872749099639836
343	0.002110012004801933
344	0.0013307563025210024
345	0.0009196638655462237
346	0.0007783433373349389
347	9.882352941177088e-05
348	-0.0004113325330132206
349	-0.002218343337334933
350	-0.0025112605042016756
351	-0.002738631452581069
352	-0.0033641776710684307
353	-0.0031869867947179093
354	-0.004153229291716688
355	-0.003961920768307329
356	-0.004448739495798321
357	-0.003240432172869147
358	-0.0009140456182472978
359	-0.0007396398559423562
360	-0.0008120048019207719
361	-0.0019541896758703595
362	-0.0019497238895558183
363	-0.002192605042016793
364	-0.002813253301320572
365	-0.004439087635054025
366	-0.005113661464585832
367	-0.005794333733493384
368	-0.00623678271308524
369	-0.006613445378151272
370	-0.006522737094837954
371	-0.0073781512605041845
372	-0.007583481392557022
373	-0.006485426170468185
374	-0.006816758703481388
375	-0.007731620648259311
376	-0.007058775510204071
377	-0.007117310924369728
378	-0.007862713085234096
379	-0.007402208883553417
380	-0.0066686194477791295
381	-0.007091044417767112
382	-0.00641238895558224
383	-0.005954813925570225
384	-0.005777430972388959
385	-0.005201920768307334
386	-0.0053378151260504315
387	-0.004920384153661464
388	-0.004434813925570244
389	-0.004510156062424971
390	-0.004025594237695108
391	-0.003104345738295325
392	-0.002144249699879947
393	-0.0020911884753901564
394	-0.0022092196878751406
395	-0.0030669867947178938
396	-0.0030511404561824615
397	-0.0033036254501800652
398	-0.0031954381752700945
399	-0.0030233373349339713
400	-0.0028530132052821196
401	-0.0027283073229291683
402	-0.0018056182472989191
403	-0.0009979351740696466
404	0.0004632412965186045
405	0.00021368547418966973
406	-0.00015409363745497208
407	-0.00015942376950785325
408	0.0025054981992796974
409	0.0022112845138055237
410	0.002021512605042014
411	0.002705498199279718
412	0.0024413925570228143
413	0.0018586314525810416
414	0.00212912364945978
415	0.0020878751500600515
416	0.002017815126050426
417	0.0003243217286914701
418	0.0010344297719087525
419	0.000974021608643456
420	-0.0003987995198078991
421	-0.0017823769507803182
422	-0.0019006962785114005
423	-0.0012743337334933894
424	-0.0011144777911164493
425	-0.0012557983193277255
426	-0.00024307322929172234
427	-0.0006060504201680756
428	-0.0006777430972388951
429	-0.00100172869147659
430	-0.0011225450180071983
431	-0.001796158463385369
432	-0.0011698919567827066
433	-0.0012208883553421162
434	-0.00021243697478991373
435	-0.00013488595438174736
436	-0.0001932773109243821
437	0.00012773109243697706
438	0.0006944537815126149
439	0.0014837454981992736
440	0.0014358223289315595
441	0.0008813925570227902
442	0.001000672268907568
443	0.00023486194477792132
444	-0.0002697238895558441
445	-0.0008927250900360412
446	-0.0015236974789915906
447	-0.002326338535414196
448	-0.0032622328931572815
449	-0.001565762304921957
450	-0.0023919807923169167
451	-0.003584105642256901
452	-0.003227707082833138
453	-0.0028751980792316827
454	-0.0018056662665065849
455	-0.002062905162064822
456	-0.0019453541416566626
457	-0.0024567106842737214
458	-0.0009197599039615454
459	-0.002346986794717901
460	-0.0026641056422569125
461	-0.0011620168067226857
462	-0.0003843457382952936
463	-0.001585354141656667
464	-0.001313277310924379
465	-0.0016117166866746928
466	-0.0018947899159663325
467	-0.0024203121248499437
468	-0.0007995198079231667
469	-0.0016971428571428096
470	-0.002454741896758691
471	-0.002951884753901564
472	-0.0025733493397358956
473	-0.002456854741896759
474	-0.0013098679471788641
475	-0.0018936854741896723
476	-0.002282496998799539
477	-0.0027572148859543975
478	-0.0029231212484994037
479	-0.0026471068427371307
480	-0.003436398559423717
481	-0.003603553421368544
482	-0.0028533493397358825
483	-0.0020822088835534104
484	-0.0028242496998799505
485	-0.002400768307322934
486	-0.0030267466986794566
487	-0.0013552460984393372
488	0.0007959183673469469
489	0.002359471788715477
490	0.0029106842737094797
491	0.002848643457382956
492	0.0021830012004802044
493	0.0020620408163265396
494	0.0019209603841536583
495	0.0013913565426170486
496	0.00027471788715485013
497	-0.0002407202881152365
498	-0.0014530612244897715
499	0.0005569267707082698
500	-0.00045858343337331844
501	-0.001136998799519821
502	-0.0014899879951980873
503	-0.0011915006002400908
504	-0.0016392316926770796
505	-0.0011077070828331267
506	9.142857142856838e-05
507	-0.0003101560624250014
508	0.00031975990396159115
509	-5.5174069627833485e-05
510	-0.00038905162064826424
511	-0.0005773349339736169
512	0.0007205762304921959
513	0.0005380552220888184
514	0.000984873949579837
515	0.0003741656662665216
516	0.0006145978391356483
517	0.0010888835534213434
518	0.0009350300120048213
519	0.0006035534213685509
520	0.0008444657863145279
521	0.0008940696278511313
522	0.0003378151260504277
523	0.0005121248499399782
524	0.0011726290516206538
525	0.00012590636254501878
526	-0.0007654261704681594
527	-0.0018593517406963198
528	-0.0019362785114045596
529	-0.0013027130852340818
530	-0.0018412004801920845
531	-0.0011995198079231726
532	-0.0016002400960384215
533	-0.0007974549819927809
534	-0.0010327490996398464
535	-0.0012905642256902908
536	-0.003135222088835517
537	-0.0021122689075630152
538	-0.0017443457382953203
539	-0.0011746458583433456
540	5.2533013205258616e-05
541	0.0009311884753901484
542	0.0005034333733493252
543	0.0008105162064825891
544	0.0013094357743097334
545	0.00016633853541421243
546	-0.0006283793517406955
547	-0.0010963745498199049
548	-0.0018450420168067598
549	-0.0020837454981992858
550	-0.002647394957983191
551	-0.0026839855942377287
552	-0.002930420168067228
553	-0.0019114045618247044
554	-0.002583145258103244
555	-0.0025504921968787743
556	-0.0011461224489795825
557	-0.0012064345738295238
558	-0.001663673469387743
559	-0.0025478511404561587
560	-0.0020466746698679598
561	-0.0018042256902761206
562	-0.0013838655462184914
563	-0.0019168787515006006
564	-0.0028467226890756423
565	-0.002638847539015635
566	-0.0014715486194477882
567	-0.0014475870348139145
568	-0.0024506122448979557
569	-0.0021063625450180026
570	-0.0018627611044417767
571	-0.0018478271308523936
572	-0.002109339735894356
573	-0.0013665786314525934
574	-0.0013551980792316715
575	-0.002761152460984372
576	-0.0033456422569028265
577	-0.0036241536614646267
578	-0.0023944297719087687
579	-0.0016864825930372187
580	-0.00180273709483794
581	-0.0027679711884753765
582	-0.0030775030012004834
583	-0.0029931812725090133
584	-0.0017234093637455157
585	-0.0030302040816326567
586	-0.0038903721488595536
587	-0.004040096038415395
588	-0.003584009603841567
589	-0.0042932533013205374
590	-0.002930132052821099
591	-0.0027326290516206703
592	-0.0034509963985594424
593	-0.0025694597839135726
594	-0.0019014165666266666
