"conlang","english","explanation_in_conlang"
"נֶמִּיצוּ אֲפוּאָן בְּוִיגְוָאמִינְק,","We eat bread within our homes,","קַדְמָא נֶ־ מַרְאֶה 'אֲנַחְנוּ'. הַפֹּעֲלָא מִּיצוּ פֵּירוּשׁוֹ 'אוֹכְלִים'. אֲפוּאָן מִלָּה אַלְגוֹנְקְוִינִית לְלֶחֶם. אַחְרָא -ינְק מַרְאֶה מָקוֹם: וִיגְוָאם-ינְק = 'בְּתוֹךְ הַבַּיִת'. קַדְמָא ב־ עִבְרִית, מְחַזֵּק אֶת הַמָּקוֹם. לְתַרְגֵּם לְאַנְגְּלִית: 'we eat bread within our homes.'"
"נֶנַחְקוֹהוּמֵין נוֹקְסוּ וְנֶפּוּנְדַאוּוֵין.","sing softly and hear one another.","שְׁנֵי פֹּעֲלִים אַלְגוֹנְקְוִינִים עִם קַדְמָא נֶ־. נַחְקוֹהוּמֵין פֵּירוּשׁוֹ 'שָׁרִים/מְצַלְצְלִים'. נוֹקְסוּ פֵּירוּשׁוֹ 'בְּשֶׁקֶט'. פּוּנְדַאוּוֵין פֵּירוּשׁוֹ 'שׁוֹמְעִים זֶה אֶת זֶה'—צוּרָה הֲדָדִית. וְ עִבְרִית מְחַבֶּרֶת. לְתַרְגֵּם: 'sing softly and hear one another.'"
"נֶוָאפּוּוָא תְּמָקָאן הַיּוֹם,","We see the path of the day,","קַדְמָא נֶ־ עַל הַפֹּעַל וָאפּוּוָא = 'אֲנַחְנוּ רוֹאִים'. תְּמָקָאן מִלָּה אַלְגוֹנְקְוִינִית לְדֶרֶךְ. הַיּוֹם עִבְרִית עִם ה־ הַיְּדִיעָה. לְתַרְגֵּם: 'we see the path of the day.'"
"וּבְנָעַר ווּסְקְסוּ מָחֲלִים תִּקְוָה.","and in the young, new hope begins to move.","וּ מְחַבֵּר לַשּׁוּרָה הַקּוֹדֶמֶת. בְּנָעַר = 'בַּצָּעִיר'. תִּקְוָה מִלָּה עִבְרִית מֻפְשֶׁטֶת. ווּסְקְסוּ מָחֲלִים מְעָרֶבֶת אַלְגוֹנְקְוִין וְעִבְרִית לְתֵאוּר תְּנוּעָה חֲדָשָׁה. לְתַרְגֵּם: 'and in the young, new hope begins to move.'"
"נֶמְנוֹקוְויֵין בְּלֵב־טוֹב,","We walk well with good hearts;","הַפֹּעַל נֶמְנוֹקוְויֵין אַלְגוֹנְקְוִינִי: קַדְמָא נֶ־ + 'הוֹלְכִים טוֹב'. הַפֹּעַל כּוֹלֵל אֶת הָאֹפֶן בְּתוֹכוֹ—פּוֹלִיסִינְתֶּטִי. לֵב־טוֹב צֵרוּף עִבְרִי לְטוּב לֵב. לְתַרְגֵּם: 'we walk well with good hearts.'"
"תְּמָקָאן תְּפַקְסְנִיוּ לָנוּ אוֹר.","the road itself gives us light.","תְּמָקָאן הוּא הַנּוֹשֵׂא—הַדֶּרֶךְ. תְּפַקְסְנִיוּ פֹּעַל אַלְגוֹנְקְוִינִי בְּצוּרַת אִינְבֶרְס: הַנּוֹשֵׂא נוֹתֵן לָנוּ. לָנוּ עִבְרִית = 'to us'. אוֹר עִבְרִי—מֻפְשָׁט. לְתַרְגֵּם: 'the road itself gives us light.'"
"נֶפּוּנְדַאוּוֵין, נֶוָאפּוּוֵין,","We listen, we see,","שְׁנֵי פֹּעֲלִים מַקְבִּילִים עִם נֶ־. פּוּנְדַאוּוֵין = 'שׁוֹמְעִים'. וָאפּוּוֵין = 'רוֹאִים'. הַמַּקְבִּילוּת כְּמוֹ שִׁירָה עִבְרִית. לְתַרְגֵּם בְּמַקְבִּילוּת: 'we listen, we see.'"
"וְנֶנַחְקוֹהוּמֵין אוֹר.","and we sing brightness forward.","וְ מְחַבֵּר. קַדְמָא נֶ־ עַל נַחְקוֹהוּמֵין = 'אֲנַחְנוּ שָׁרִים'. אוֹר הוּא הַמּוּשָׂא—אוֹר/בְּהִירוּת. הַפֹּעַל כּוֹלֵל כִּוּוּן קָדִימָה. לְתַרְגֵּם: 'and we sing brightness forward.'"
"נֶגַנָאוֵין כֵּלִים וְנֶקוּלְמַאהְקֵין,","We tend our tools and shape our craft,","שְׁנֵי פֹּעֲלִים אַלְגוֹנְקְוִינִים: גַנָאוֵין = 'מְטַפְּלִים/שׁוֹמְרִים', קוּלְמַאהְקֵין = 'מְעַצְּבִים'. כֵּלִים עִבְרִית—אֻמְּצָה מֻקְדָּם. וְ מְחַבֵּר. לְתַרְגֵּם: 'we tend our tools and shape our craft.'"
"נֶפּוּמָאוֵין פְּרִי בְּתְּמָקָאנִינְק וָאסָאקְוֵין.","carry fruit along the road that glows.","נֶפּוּמָאוֵין = 'אֲנַחְנוּ נוֹשְׂאִים'. פְּרִי עִבְרִית. בְּתְּמָקָאנִינְק: ב־ + תְּמָקָאן + -ינְק = 'בַּדֶּרֶךְ'. וָאסָאקְוֵין פֹּעַל אַלְגוֹנְקְוִינִי = 'זוֹרֵחַ/נוֹצֵץ'. לְתַרְגֵּם: 'carry fruit along the road that glows.'"
"נֶמִּקְוֵינְדַאמֵין תְּמָקָאנַאק סְוַאנִינְק,","We remember the paths beside the waters,","נֶמִּקְוֵינְדַאמֵין = 'אֲנַחְנוּ זוֹכְרִים'—פֹּעַל אַלְגוֹנְקְוִינִי. תְּמָקָאנַאק עִם רִבּוּי -אַק = 'דְּרָכִים'. סְוַאנִינְק = 'לְיַד הַמַּיִם'—לוֹקָטִיב אַלְגוֹנְקְוִינִי. לְתַרְגֵּם: 'we remember the paths beside the waters.'"
"וְנֶמִּינֵין עֶזְרָה פַּחְקְוֵינָה.","and we lend one another our help.","וְ + נֶמִּינֵין = 'וַאֲנַחְנוּ נוֹתְנִים'. עֶזְרָה עִבְרִית—מֻפְשֶׁטֶת. פַּחְקְוֵינָה = 'זֶה לָזֶה'—הֲדָדִיּוּת אַלְגוֹנְקְוִינִית. לְתַרְגֵּם: 'and we lend one another our help.'"
"נֶמְנוֹקוְויֵין, נֶמְנוֹקוְויֵין,","We walk well, we walk well—","חֲזָרָה שִׁירִית. הַפֹּעַל נֶמְנוֹקוְויֵין חוֹזֵר פַּעֲמַיִם לְהַדְגָּשָׁה. זֶה דֶּרֶךְ שִׁירִית עִבְרִית עִם פֹּעַל אַלְגוֹנְקְוִינִי. לְתַרְגֵּם: 'we walk well, we walk well—'"
"נֶפּוּנְדַאוּוֵין וְנֶנַחְקוֹהוּמֵין.","we hear and we sing.","שְׁנֵי פֹּעֲלִים מַקְבִּילִים: פּוּנְדַאוּוֵין = 'שׁוֹמְעִים', נַחְקוֹהוּמֵין = 'שָׁרִים'. וְ מְחַבֵּר. לְתַרְגֵּם: 'we hear and we sing.'"
